コマンド,キャラの名前,キャラの立ち位置,本文,背景,BGM,SE,表情
,,,女王陛下の顔を拝せずに御用を,,,,
,,,伺うために使われる部屋である。,,,,
Brank,,,ブラッドは小窓の前に跪き、,,,,
,,,落ち着いた口調で声をかけた。,,,,
Sentence,ブラッド,左,「女王陛下。,,,,Brad_face.png
,,,……ブラッドが帰って参りました」,,,,
Sentence,女王陛下,,「……ブラッド」,,,,Victoria_face.png
Sentence,ブラッド,左,「二年もの長い間……、ご無沙汰して,,,,Brad_smile.png
,,,しまいました。ですが、,,,,
Sentence,ブラッド,左,これからはまた以前のように、,,,,
,,,ブラッドがおそばにおります」,,,,
Sentence,女王陛下,,「…………ええ」,,,,Victoria_face.png
Sentence,ブラッド,左,「……女王陛下はこの二年で、,,,,Brad_smile.png
,,,お変わりありませんか。,,,,
,,,体の具合が優れないと聞きました」,,,,
Sentence,女王陛下,,「ええ、変わりありません」,,,,Victoria_face.png
Brank,,,それからいくつか言葉をかわしてから、,,,,
,,,ブラッドは部屋を出た。,,,,
Brank,,,ブラッドは親友であるヘミングの,scbg_hemingshouse_night.png,,,
,,,自宅へと向かった。,,,,
Brank,,,ヘミング宅のドアをノックする。,,SCBGM_shireibunaiyoru.wav,SCSE_wooddoorknock.wav,
,,,ノッカーもない、みすぼらしい,,,,
,,,アパートメントの一階である。,,,SCSE_sakabadoor.wav,
Sentence,ヘミング,右,「ブラッドか！？」,,,,Heming_smile.png
Sentence,ブラッド,左,「久しぶりだね、ヘミング」,,,,Brad_smile.png
Sentence,ヘミング,右,「どうだった、国境への旅は？,,,,Heming_smile.png
,,,土産話でも聞かせてくれ」,,,,
Brank,,,熱い抱擁を受けとめると、,,,,
,,,そのまま中へ招き入れられる。,,,,
Brank,,,首元のマフラーをほどき、,,,,
,,,ヘミングの背中を同じように叩き,,,,
,,,返してやると、二年前にはまだ,,,,
Brank,,,人間のものだったはずの左脚が、,,,,
,,,機械となったのを見つけた。,,,,
Sentence,ブラッド,左,「…ヘミング、また増やしたのか」,,,,Brad_bad.png
Sentence,ヘミング,右,「ん？……ああ。そうか、お前は,,,,Heming_smile.png
,,,まだ見ていなかったな。,,,,
Sentence,ヘミング,右,新しく左脚も足先から腐ってきて,,,,Heming_smile.png
,,,いたから取り替えたんだ」,,,,
Brank,,,二人は狭い廊下を渡りダイニング,,,,
,,,へと出た。ヘミングの娘と妻が、,,,,
,,,キッチンに立ったまま会釈する。,,,,
Sentence,ブラッド,左,「腐っただと……？」,,,,Brad_bad.png
Sentence,ヘミング,右,「毎度、これをくっつけてもらう,,,,Heming_smile.png
,,,のがヤブ医者なもんでね。,,,,
,,,何かに感染することもあるんだと」,,,,
Brank,,,もう止めた方がいいとは言えない。,,,,
,,,その理由は二人の関係性と過去に,,,,
,,,ある。,,,,
Sentence,ヘミング,右,「……俺もお前のように、,,,,Heming_bad.png
,,,女王陛下に拾われていれば,,,,
,,,もう少しマシな体で生きていけた,,,,
Sentence,,,かもしれないがね」,,,,
Brank,,,ブラッドはこの話題に弱い。,,,,
Brank,,,苦笑することも出来ずにいると、,,,,
,,,それを見かねたヘミングが,,,,
,,,ブラッドの肩をたたいた。,,,,
Sentence,ヘミング,右,「悪かったよ、この話はよそう。,,,,Heming_smile.png
,,,今は家内も娘もいて、幸せだから」,,,,
Sentence,ブラッド,左,「……それなら良かったよ」,,,,Brad_smile.png
Sentence,ヘミングの妻,,「あなた、せっかくですから、,,,,Hemingswife_png
,,,ワインを開けたらどうです」,,,,
Sentence,ヘミング,右,「ああ、そうしよう」,,,,Heming_smile.png
Sentence,ブラッド,左,（女王陛下に拾われたのが、,,,,Brad_face.png
,,,私ではなくヘミングであれば,,,,
,,,何かが変わったのだろうか……？）,,,,
Sentence,ヘミング,左,「ブラッド。飲め。,,,,Heming_smile.png
,,,久しぶりに奮発したんだ」,,,,
Brank,,,ヘミングがヒビの入ったグラスを,,,,
,,,ブラッドの前に差し出した。,,,,
Sentence,ブラッド,左,「ああ……、頂くよ」,,,,Brad_smile.png
Sentence,ヘミング,左,「きっと美味いぞ。高かったから」,,,,Heming_smile.png
Brank,,,ワインを口に含みながら、,,,,
,,,ブラッドはこのワインに水が,,,,
,,,含まれていないことに気がつける,,,,
Brank,,,自分と、それに気づかず,,,,
,,,この薄いワインを崇めるように,,,,
,,,飲んでいる隣のヘミングの人生に,,,,
Brank,,,差をつけたのは、誰の仕組んだ,,,,
,,,悪戯なのかと考えるのだった。,,,,
