,12,Dr．R,1828年1月11日,"今日、僕たちは結婚して
はじめての夫婦喧嘩をした。

でも、僕は謝る気になれない。

それどころか、心の拠り所を失って、
悲しみに打ちひしがれている。


きっかけは、エイミーが三日前に倒れたこと。
僕が部屋で研究していると、
突然物が割れる音がした。
慌ててダイニングへ向かうと、
エイミーが青ざめた顔で床に転がっていた。

そこからのことは正直あまり覚えていない。
というか、思い出そうとすると手が震える。

そしてさっき、病院にいるエイミーに
会ってきたら、打ち明けられた。
僕と彼女が22歳の誕生日を迎えたあの冬、
彼女が肺の病に侵されていることが
わかったという。

僕はあの頃、ただ「どうしてエイミーは
僕に会ってくれないのだろう」と
不安がってばかりいた。

けれど彼女は、自分の命の期限を
明確にされてしまったその事実を
僕にひた隠しにするために
会いたくなかったのだそうだ。

僕はなんて愚かなのだろう。
どうして最愛の人の身体の異変に、
何も気が付かなかったのだろう。

いま、エイミーに会ったら何を言うか
わからない。

それでも、こうしている間にさえ彼女と
一緒にいられる時間が失われていくと思うと、
僕は涙がでるよ。
エイミー、どうして君なんだ。

神様、
エイミーだけは僕の命と代えてもいいから、
助けてください。

",16,@last
,13,Dr．R,1830年10月25日,"僕はどうしてこんなにも弱いのだろう。
日に日に痩せていくエイミーの姿を
直視できなくて、
僕はいつも目をそらせてしまう。

彼女が笑っていても
、僕はその目を見られないんだ。
エイミー。
ごめん、こんな僕を許してくれ。


目を見られないまま話したから
伝わらなかったのだろうか。
エイミーだけでも僕らの故郷に戻り、
療養してほしいと願ったのに、
それすら君は笑顔ではねのけた。

「研究者の妻としてそばにいたい」なんて
言われたら、僕に返す言葉がある？
「あなたが一生懸命に研究に取り組んでいる
横顔が大好きなの」そういう思いすらも、
君自身の命を縮めているのを
知っているだろう？

それでも押し切られてしまったのも、
僕の心の弱さのせいだね。

僕の選択は正しいの？
エイミーをどうしたらいい？
僕にはエイミーのいない人生なんて
考えられないんだ。

こんな運命を決めたのが神様なら、
僕はあなたを殺しに行きます。
",18,@last
,14,Dr．R,1931年12月30日,"12月30日。
僕の人生で最悪の日だった。
エイミーが、天国へ帰った。

看病のためにつけた四人のメイドも、
結局は慰めにしかならなかった。
僕と君の誕生日が過ぎ去るのを
待ってくれたんだね。

最後に僕に口付けて、
大好き愛してると言って。

僕は君のために、何をしてあげられたかな。
ずっと僕が君を思っていたあの気持ちは、
君の人生を少しでも
幸せにしてあげられただろうか。

幸せだったかな、と君は僕に聞いたけど、
君はどうだった？
僕が君にあげられたものは、君が僕にくれた
ものにはとても及ばないだろうけれど。
僕のことを愛してくれてありがとう。
死ぬまで愛してくれて、本当にありがとう。

君との約束を守るよ。
僕の研究中の横顔が好きだと言ってくれた
君にできることは、これだけだよね？

あいしてる、エイミー。
これからも、ずっと。
",20,@last
,15,Dr．R,1931年4月29日,"春が来た。
実のところ随分前に春一番は吹いたと言うが、
僕の心は今も凍ったまま。

エイミー、君が一番好きな季節が来たよ。
窓の外を見た。
久しぶりに太陽に当たった気がしたよ。

窓を開けると近くに咲いていた桜の花びらが
部屋の中に入ってきたから、
これをこの頁の栞にしよう。

ねえエイミー。
僕に一つ考えがあるんだ。
もう僕は、君のいない生活に耐えきれない。

先日、議会から認可が下りた
新しい開発技術を応用すれば、
君を取り戻せるかもしれない。

もう少しだけ、待っていてくれないか。
愛してる、エイミー。
いつも僕を見守っていて。
",21,@last
,16,Dr．R,1932年12月28日,"わかっているんだ！！
こんなことをしても、本当のエイミーが
帰ってくることはないなんて！

悔しい、君を守れなかったことを
毎日思い知る。

それでも一度、エイミーと名付けてしまった
あの躯体を壊すなんて、僕には出来ない。

愛している人の命に手を付けたこと、
今は本当に悔やんでいるんだ。
でも、どうしてもアレを壊すことが出来ない。

くそ！くそ！！！
僕は本当に大馬鹿者だ！！
どうしていつも僕はこんなに弱い？
どうしていつも、僕は君をこんなにも
愚かなのだろう。

何度も作りかけの呼吸器官につながる配線を
抜こうと思ったんだ。
何度も、君の皮膚細胞を保存した試験管を
割ろうと思った。

でも、無理だった。
一つひとつが、君なんだ。

もう僕は、いよいよおかしいのかもしれない。
あの試験管が君の肌のぬくもりを
持っている気がするんだ。

あの呼吸器が、あのパイプたちが、
君の身体のような気がして、
ああ、
何が本当で何が嘘なのか、
もうわからないんだ！！

こんな僕を許してくれエイミー。
僕は研究を続けるよ。
壊せないんなら、いっそ本当の君になるまで
僕は何百年かけてでも絶対に諦めない。
",22,@last
,17,Dr．R,1936年12月27日,"日記を書くというこの行動さえ懐かしい。
前書いたのはいつだろう。
頁をめくるのもすでに煩わしい。

誕生日に間に合ってよかったよ。
君の躯体の完成版だ。

君ではないとわかっていても、
結局こうしてそばにおいておきたいと
思う僕を許しておくれ。

おしゃべりが好きなはずの君なのに、
このエイミーは何も答えてくれないね。

どうか、僕の頬をなでて、
僕に口付けてくれないか。

愛しているんだ、いまも。
エイミー、君のことが大切なんだ。

僕は君以外の人間をそばにおいておくことが
できない。

君は僕にとっては酸素だったんだ。
君無しで生きている僕は、
ただの屍かもしれないな、傀儡か？

君に僕が僕として自我を保てる体系を
持って行かれてしまったみたいだ。
",23,@last
,18,Dr．R,1937年3月17日,"この季節には珍しく雪が降った。

久しぶりに外へ出ると、雪がやんでいた。
エイミーは相変わらず、
椅子の上で頷いているだけなので、
僕は自分の朝食も忘れてしまう。

街に出ると、
どうも機械奴隷の数が増えたようにみえた。

それもそうだ、僕がこの前外に出たのは、
研究助手のアップソン君が挨拶に来た時
以来なので半年以上前のことだ。

アップソン君には迷惑をかけている。
僕が食事をしないのを気にして、
毎日のように食材を買ってくる。

僕はいよいよ、他人の手を煩わせないと
研究は愚か自分の命を繋ぐこともできない。

僕のようなのは、もう、人間失格だ。
このまま消えていきたい。
エイミーの元へ行きたい。

愛しのエイミー、僕の妻よ。
道案内を口実にしていいから、来てほしい。
僕を連れて行っていいから。
",25,@last
,19,Dr．R,1939年6月19日,"エイミーは、散歩へ行こうと言っても
動いてくれない。

今日は機嫌が悪いのかな。
君は散歩が好きじゃないか。

こんな快晴なのに、
どうしたっていうんだい？
夏になる前に散歩へ行こうよ。

アップソン君がこの頃、
他の研究員を連れてくる。
奴らはうるさい。
干渉してくるわりには、リンゴの一つも
作りやしないのに。

エイミー。
明日は何をしようか。
何をしようと言えば君は動いてくれる？
",26,@last
,20,Dr．R,1941年12月19日,"今日は機嫌がいいみたいだ。
エイミーがずっと頷いている。

ああ、僕の研究は
世界を救わなかったみたいだ。
最後まで気づかなかったな。

裏切られることを想定していなかった。
政府とは、なんぞや。

形而上学的に論ずる必要はない。
もう僕はだめだ。
そろそろ君の所にいってもいいかな。
",27,@last
,21,Dr．R,1942年1月30日(代筆者:G),"アップソン・ガルブレイス　記す

1942年1月30日
早朝、Dr．R氏の自宅を訪問。
３日前から私の研究が立て込んで、
様子見に来られなかったことが悔やまれる。

彼の死亡時、一点不可解なことがあった。
机に突っ伏して息絶えていた彼の隣に、
彼の妻を模した機械の躯体があったのだが、
彼女（というべきではないだろう）は、
そのとき涙を流していたということ。

彼がその躯体にどういう仕掛けをしたのか、
これから解明を進めたいと思う。

彼は最後まで「エイミーではない」と
嘆いていたが、私からしたらもう、
アレは妻といって差し支えなかったと思う。

特に最後に作り上げたのは、
人間と見まごうほどであった。

個人的な感情で言えば、
この”エイミー”とR氏の結末を見て、
啼血したい気持ちである。

私が研究員でなければ、
こんな酷なことはしない。

すでにエイミーの躯体は研究所へ搬入済み。
私もこの躯体の研究に携わる予定だ。

もし私の仮定が正しければ、
自律自立し、独自の感情を心に宿し、
人間的外見をした機械人間が生まれる日も、
そう遠くはないのかもしれない。

これが、兵器として使われることのないよう、
私は祈るばかりである。

Dr．R氏とその妻エイミー氏へ。
ここに哀悼の意を示す。
",28,@last
